Model ID,Model Name,Accuracy,Precision,Recall,F1-score
freeze,Freeze FT,0.7407572383073496,0.7573659199912259,0.7193741148355179,0.7216401941058113
full,Full Fine-tune,0.9538233110616184,0.953186065402541,0.953016436389582,0.953100701503979
partial,Partial FT,0.9406087602078693,0.939719006784139,0.9396534077355048,0.9396861206614305
bitfit,BitFit,0.9302152932442465,0.9286259275539357,0.9299550137650465,0.929249230278473
lora,LoRA,0.9131403118040089,0.911385197258442,0.9125230491995642,0.9119223294876455
